Bus_line,start_location_name,end_location_name,Time_start,Date_record,Accuracy,Confirms,Misses,Last_accurate_time
10+10A de Oudhref,Oudhref Mostarsel,,6:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,6:45,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,7:30,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,8:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,8:45,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,10:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,11:05,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,12:20,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,13:15,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,14:30,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,15:45,30/06/2021,Not Yet Initialized,0,0,
10+10A de Oudhref,Oudhref Mostarsel,,17:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,6:50,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,7:20,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Gabes Warhouse,,7:25,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Sidi Marzouk,,8:45,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,10:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,11:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,12:10,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,13:15,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,14:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,15:30,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Hospital,,17:00,30/06/2021,Not Yet Initialized,0,0,
10+10A de Gabes,Gabes Warhouse,,18:10,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Ghraysa Amaret Gabes,,6:00,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Amarat,,6:45,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Awled Thaw Vers Hicha Gabes,,7:30,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Gabes Transport Station,,11:30,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Gabes Transport Station,,14:30,30/06/2021,Not Yet Initialized,0,0,
1 10F Hicha Kwiada,Gabes Warhouse,,18:10,30/06/2021,Not Yet Initialized,0,0,
Oudhref Chimical Group + Construction,Harbor Oudhref Market,,5:15,30/06/2021,Not Yet Initialized,0,0,
Oudhref Chimical Group + Construction,Harbor Oudhref Market,,13:15,30/06/2021,Not Yet Initialized,0,0,
Oudhref Chimical Group + Construction,Harbor Oudhref Market,,21:15,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Manzel Habib,,6:00,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Gabes Transport Station,,6:45,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Manzel Habib,,8:30,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Gabes Transport Station,,12:30,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Gabes Transport Station,,14:00,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Gabes Transport Station,,15:30,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Manzel Habib,,17:05,30/06/2021,Not Yet Initialized,0,0,
10J Manzel Habib,Gabes Transport Station,,18:30,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,"Awled Thaw Vers Mida 
Gabes",,6:10,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,Ghraysa Mida Gabes,,8:10,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,Gabes Vers Awled Thaw,,11:30,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,"Awled Thaw Vers Mida 
Gabes",,13:10,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,Gabes Vers Awled Thaw,,14:10,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,Gabes Vers Awled Thaw,,15:30,30/06/2021,Not Yet Initialized,0,0,
10E 1 Mida,Gabes Mida Vers Awled Thaw,,17:30,30/06/2021,Not Yet Initialized,0,0,
Gabes Khwi Zghabna,Nokie Khwi Mida Gabes,,5:00,30/06/2021,Not Yet Initialized,0,0,
Gabes Khwi Zghabna,Gabes Awled Thaw Vers Nokie,,15:30,30/06/2021,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,7:15,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,7:55,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,8:35,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,9:15,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,9:55,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,10:35,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,11:15,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,11:50,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,12:20,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,13:15,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,13:55,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,14:35,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,15:15,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,15:55,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,16:35,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,15:15,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,17:55,Unknown,Not Yet Initialized,0,0,
Line 4,Hospital,Fac de Science/Cité Amel,18:35,Unknown,Not Yet Initialized,0,0,
Line 4,Fac de Science/Cité Amel,Hospital,19:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,7:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,7:55,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,8:35,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,9:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,9:55,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,10:35,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,11:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Cité Manara,Fac de Science/Cité Amel,12:00,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,13:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,13:55,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,14:35,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,15:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,15:55,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,16:35,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,17:15,Unknown,Not Yet Initialized,0,0,
Line 4C,Cité Manara,Fac de Science/Cité Amel,18:00,Unknown,Not Yet Initialized,0,0,
Line 4C,Fac de Science/Cité Amel,Hospital,18:40,Unknown,Not Yet Initialized,0,0,
Line 4C,Hospital,Fac de Science/Cité Amel,19:15,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,7:30,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,8:10,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,8:50,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,9:30,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,10:10,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,10:50,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,11:30,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,12:10,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,12:50,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,13:30,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,14:10,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,14:50,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,15:30,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,16:50,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,17:30,Unknown,Not Yet Initialized,0,0,
Line D15,Cité Pharmacies,Fac de Science,18:10,Unknown,Not Yet Initialized,0,0,
Line D15,Fac de Science,Cité Pharmacies,18:50,Unknown,Not Yet Initialized,0,0,